date,date_id,wind,desc,temp,baro,hum
"Friday, February 5, 2021, 12:00 pm — 6:00 pm",1612526400000.0,6.214,Sprinkles. Broken clouds.,51.8,29.77,84
"Friday, February 5, 2021, 6:00 pm — 12:00 am",1612548000000.0,5.593,Passing clouds.,44.6,29.77,94
"Saturday, February 6, 2021, 12:00 am — 6:00 am",1612569600000.0,2.486,Passing clouds.,42.8,29.76,96
"Saturday, February 6, 2021, 6:00 am — 12:00 pm",1612591200000.0,4.35,Broken clouds.,44.6,29.75,95
"Saturday, February 6, 2021, 12:00 pm — 6:00 pm",1612612800000.0,8.078,Broken clouds.,46.4,29.69,83
"Saturday, February 6, 2021, 6:00 pm — 12:00 am",1612634400000.0,11.185,Partly cloudy.,44.6,29.65,95
"Sunday, February 7, 2021, 12:00 am — 6:00 am",1612656000000.0,16.778,Overcast.,39.2,29.65,89
"Sunday, February 7, 2021, 6:00 am — 12:00 pm",1612677600000.0,16.778,Light snow. Partly sunny.,37.4,29.68,83
"Sunday, February 7, 2021, 12:00 pm — 6:00 pm",1612699200000.0,19.264,Partly sunny.,35.6,29.64,75
"Sunday, February 7, 2021, 6:00 pm — 12:00 am",1612720800000.0,17.4,Passing clouds.,33.8,29.62,78
"Monday, February 8, 2021, 12:00 am — 6:00 am",1612742400000.0,16.778,Passing clouds.,30.2,29.6,81
"Monday, February 8, 2021, 6:00 am — 12:00 pm",1612764000000.0,14.914,Light snow. Partly sunny.,30.2,29.62,79
"Monday, February 8, 2021, 12:00 pm — 6:00 pm",1612785600000.0,13.05,Light snow. Passing clouds.,30.2,29.63,82
"Monday, February 8, 2021, 6:00 pm — 12:00 am",1612807200000.0,11.807,Partly cloudy.,30.2,29.68,83
"Tuesday, February 9, 2021, 12:00 am — 6:00 am",1612828800000.0,8.7,Passing clouds.,30.2,29.71,82
"Tuesday, February 9, 2021, 6:00 am — 12:00 pm",1612850400000.0,12.428,Light snow. Broken clouds.,32.0,29.73,81
"Tuesday, February 9, 2021, 12:00 pm — 6:00 pm",1612872000000.0,12.428,Snow flurries. Broken clouds.,32.0,29.72,82
"Tuesday, February 9, 2021, 6:00 pm — 12:00 am",1612893600000.0,14.914,Passing clouds.,32.0,29.75,77
"Wednesday, February 10, 2021, 12:00 am — 6:00 am",1612915200000.0,11.807,Overcast.,32.0,29.8,76
"Wednesday, February 10, 2021, 6:00 am — 12:00 pm",1612936800000.0,11.185,Sunny.,35.6,29.95,75
"Wednesday, February 10, 2021, 12:00 pm — 6:00 pm",1612958400000.0,11.185,Passing clouds.,35.6,30.07,62
"Wednesday, February 10, 2021, 6:00 pm — 12:00 am",1612980000000.0,6.214,Passing clouds.,32.0,30.18,83
